tag_id,product_id,tag
91,91,"['pressed', 'apples', 'warm', 'cinnamon', 'cloves']"
92,92,"['ripe', 'twist', 'fruity']"
93,93,"['meat', 'shrimp', 'rolls', 'vegetables']"
94,94,"['beach', 'vacation', 'tropical', 'creamy', 'coconut']"
95,95,"['garam', 'masala', 'marinated', 'popular']"
96,96,"['yogurt', 'ripe', 'exotic', 'indian', 'cardamom']"
97,97,"['pickled', 'dough', 'porridge', 'meats', 'savory', 'breakfast']"
98,98,"['quick', 'similar', 'shrimp']"
99,99,"['salad', 'pieces', 'perfection']"
100,100,"['taste', 'symbiotic', 'yeast', 'bacteria']"
101,101,"['soup', 'remedy', 'clear', 'served']"
102,102,"['unbaked', 'pies', 'pre-baked']"
103,103,"['takeout', 'diced', 'scrambled']"
104,104,"['peppers', 'bell', 'filled']"
105,105,"['vanilla', 'sugar', 'dessert']"
106,106,"['bone', 'creamy', 'ramen', 'green']"
107,107,"['grilled', 'fettuccine', 'parmesan']"
108,108,"['pieces', 'bite-sized', 'quick', 'pre-cooked', 'breaded', 'frozen']"
109,109,"['duxelles', 'wellington', 'along']"
110,110,"['convenient', 'sauce', 'filled', 'savory', 'chicken']"
111,111,"['higher', 'ratio', 'latte']"
112,112,"['pre-cooked', 'breaded', 'fillets']"
113,113,"['flavors', 'seared', 'duck']"
114,114,"['hint', 'creaminess', 'flavor', 'strong']"
115,115,"['wraps', 'quick', 'meal', 'frozen']"
116,116,"['bitter', 'enjoyed', 'pick-me-up']"
117,117,"['slices', 'onion', 'crispy', 'snack', 'breaded', 'into']"
118,118,"['rabbit', 'spanish', 'single', 'variety']"
119,119,"['stuffed', 'pockets', 'pizza']"
120,120,"['cheese', 'layered', 'pasta']"
121,121,"['middle', 'mixture', 'eastern', 'grape', 'rolled', 'rice']"
122,122,"['zesty', 'flavorful', 'juice']"
123,123,"['berries', 'peach', 'lemon', 'like', 'weather']"
124,124,"['item', 'fillets', 'lettuce']"
125,125,"['pepperoni', 'toppings', 'cheese', 'stored']"
126,126,"['american', 'mate', 'properties']"
127,127,"['loafs', 'bread', 'baguettes', 'rolls', 'frozen']"
128,128,"['one-pot', 'american', 'together', 'latin', 'create']"
129,129,"['food', 'comfort', 'elbow', 'american', 'classic', 'creamy']"
130,130,"['version', 'water', 'intense', 'flavor']"
131,131,"['milk', 'chilled', 'syrup']"
132,132,"['zest', 'lime', 'watermelon', 'added', 'touch', 'sometimes']"
133,133,"['hint', 'bright', 'lime']"
134,134,"['made', 'foam', 'layer']"
135,135,"['over', 'brewed', 'cream', 'sweetened', 'chilled', 'flavored']"
136,136,"['rice', 'served', 'duck', 'hearty']"
137,137,"['shot', 'vanilla', 'scoop', 'espresso', 'cream']"
138,138,"['caribbean', 'cooked', 'southeast', 'coconut', 'served']"
139,139,"['such', 'sushi', 'seaweed', 'rolls', 'nori', 'fish']"
140,140,"['spices', 'meatballs', 'from', 'herbs']"
141,141,"['patties', 'buns', 'pre-cooked', 'frozen']"
142,142,"['west', 'fried', 'plantains']"
143,143,"['instead', 'latte', 'drink', 'espresso']"
144,144,"['amount', 'through', 'brewed', 'small']"
145,145,"['extended', 'smooth', 'more', 'acidic', 'period']"
146,146,"['toasted', 'pre-made', 'waffles', 'quick', 'fluffy']"
147,147,"['roasted', 'orange', 'sweet']"
148,148,"['then', 'mexican', 'until', 'golden', 'tortilla', 'fillings']"
149,149,"['assortment', 'soft', 'simple', 'spices']"
150,150,"['sandwiches', 'vegetables', 'pre-made']"
151,151,"['both', ""that's"", 'touch', 'yogurt', 'tart', 'banana']"
152,152,"['macaroni', 'comfort', 'food', 'cheese', 'creamy', 'quick']"
